title,body,source,timestamp,tags
Pencatatan Obligasi Berkelanjutan IV MNC Kapital Indonesia Tahap II Tahun 2024,"Pada 3 Juli 2024, Obligasi Berkelanjutan IV MNC Kapital Indonesia Tahap II Tahun 2024 oleh PT MNC Kapital Indonesia Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10726,2024-07-03T08:35:00,BCAP
Pencatatan Obligasi Berkelanjutan V WOM Finance Tahap I Tahun 2024,"Pada 3 Juli 2024, Obligasi Berkelanjutan V WOM Finance Tahap I Tahun 2024 oleh PT Wahana Ottomitra Multiartha Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10724,2024-07-03T08:30:00,WOMF
Pencatatan Perdana Saham PT Soraya Berjaya Indonesia Tbk (SPRE) di Bursa Efek Indonesia,"Pada Rabu, 3 Juli 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Soraya Berjaya Indonesia Tbk (SPRE) 
",/api/api/publication/news/10722,2024-07-03T00:00:00,SPRE
Pembangunan Bak Penampungan Air di Desa Poh Bergong,Testing,/api/api/publication/news/10720,2024-07-01T12:40:48.31,CSR
Pengadaan Hewan Sapi Qurban di 4 Kantor Perwakilan (KP),Testing,/api/api/publication/news/10718,2024-07-01T11:44:44.023,
Pencatatan Obligasi Berkelanjutan I Trimegah Sekuritas Indonesia Tahap II Tahun 2024,"Pada 1 Juli 2024, Obligasi Berkelanjutan I Trimegah Sekuritas Indonesia Tahap II Tahun 2024 oleh PT Trimegah Sekuritas Indonesia Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10716,2024-07-01T00:10:00,TRIM
Pencatatan Obligasi Berkelanjutan IV PTPP Tahap I Tahun 2024,"Pada 1 Juli 2024, Obligasi Berkelanjutan IV PTPP Tahap I Tahun 2024 oleh PT PP (Persero) Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10714,2024-07-01T00:00:00,PTPP
BEI Menyelenggarakan Rapat Umum Pemegang Saham Tahunan (RUPST) 2024,"Pada Rabu, 26 Juni 2024, PT Bursa Efek Indonesia (BEI) menyelenggarakan Rapat Umum Pemegang Saham Tahunan (RUPST) 2024. RUPST 2024 BEI telah membahas 5 agenda",/api/api/publication/news/10712,2024-06-26T12:00:00,RUPST
Go Public Workshop: Alternatif Pendanaan Bagi Perusahaan Di Kalimantan Barat Melalui Initial Public Offering (IPO),testing,/api/api/publication/news/10710,2024-06-26T10:52:35.697,"IDX,Go Public,IPO"
IDX & HKEX Capital Markets Seminar “Roadmap to Additional Liquidity via Dual Listing”,Testing,/api/api/publication/news/10708,2024-06-25T15:16:15,"HKEX,IDX"
